Generation   Generation_size_p   Avg_R_p   Generation_size_s   Avg_R_s   
1	   30	 1.000000    30    1.700000 
2	   30	 1.333333    51    1.568627 
3	   40	 1.125000    80    1.850000 
4	   45	 0.933333    148    1.520270 
5	   42	 0.761905    225    1.186667 
6	   32	 0.687500    267    0.629214 
7	   22	 0.500000    168    0.482143 
8	   11	 0.090909    81    0.283951 
9	   1	 0.000000    23    0.000000 
10	   0	 -nan    0    -nan 
